prims,Distance,Time,Operations
1,129.2596033082575,1.048664509,9917
2,221.49896028481638,0.900761061,11108
3,130.78771528392195,0.616095087,12612
4,53.44221720961502,0.561007179,10207
5,25.8278989219059,0.526548811,9409
6,238.10647745295955,0.494087567,11265
7,180.36839739849626,0.888345721,21334
8,219.06975571803704,0.567511512,11149
9,145.0369340958588,0.432128847,8461
10,233.4294216740157,0.662164018,12355
11,76.72471806203019,0.532020384,9568
12,408.15730816564644,0.746821786,15120
13,34.6646480757567,0.514308448,11349
14,140.33514645354086,0.564001155,8526
15,312.51211284460373,0.503817276,8211
16,274.8847340854243,0.543748928,9025
17,6.650281539872885,0.455117431,8812
18,200.94588003485532,0.711073039,14046
19,108.4416422977961,0.52387458,9525
20,268.4661814745034,0.644619078,13170
21,57.323498914656156,0.479791943,9353
22,358.3557899917088,0.612991679,11393
23,86.65112896638422,0.524237642,8105
24,168.398541008601,0.600297061,9951
25,236.35688959790087,0.552599196,7710
26,88.85098576105621,0.706107586,12121
27,86.52530625049869,0.712656374,13550
28,206.009846934261,0.534513939,9295
29,242.61962561247896,0.531494315,11416
30,278.5452136743501,0.548985109,9527
31,158.83791163482434,0.622309311,11067
32,259.18682161993496,0.651239682,11762
33,292.30928933225283,0.528400597,10731
34,64.59183445287296,0.772204183,9749
35,174.16125669751574,0.534135489,9572
36,136.76079931617963,0.569982269,10293
37,167.22889086227397,0.483432819,10064
38,97.74415241024555,0.670538944,11690
39,31.251407699364425,0.609510961,11755
40,144.58285144452483,0.662209044,12981
41,328.0617529126039,0.545433716,11466
42,88.19296061236447,0.581045675,11218
43,6.738768882709854,0.609319456,9807
44,43.876526099446956,0.574112736,9681
45,100.61102437889114,0.56254663,10208
46,50.42654699812864,0.483393492,10071
47,154.20188882710698,0.572751682,9409
48,146.27434704274165,0.898523416,14542
49,48.67759578177714,0.765189171,15150
50,144.68313923721774,0.485956012,9455
Averages:,=AVERAGE(B2:B51),=AVERAGE(C2:C51),=AVERAGE(D2:D51)
Path Not Found:,"=COUNTIF(B2:B101, "=BROKE")"
